Source,Target,Type,Id,Label,timeset,Weight
545577860,100000063101730,Undirected,535,,,1
546688440,100000082893139,Undirected,536,,,1
551074991,100000032237806,Undirected,537,,,1
551074991,100000105028850,Undirected,538,,,1
551799461,100000040309492,Undirected,539,,,1
551799461,100000063687850,Undirected,540,,,1
557874377,100000063101730,Undirected,541,,,1
559392060,100000082893139,Undirected,542,,,1
560236619,100000013749622,Undirected,543,,,1
560236619,100000053913018,Undirected,544,,,1
561396745,100000013749622,Undirected,545,,,1
569925919,100000057970137,Undirected,546,,,1
572592023,100000105028850,Undirected,547,,,1
574369900,100000082893139,Undirected,548,,,1
583317985,100000022625994,Undirected,549,,,1
604678719,100000013749622,Undirected,550,,,1
604678719,100000040309492,Undirected,551,,,1
604678719,100000053913018,Undirected,552,,,1
604678719,100000064809894,Undirected,553,,,1
604678719,100000069041641,Undirected,554,,,1
604678719,100000093638363,Undirected,555,,,1
611832495,100000057570813,Undirected,556,,,1
611832495,100000078955024,Undirected,557,,,1
611832495,100000079428796,Undirected,558,,,1
611832495,100000105028850,Undirected,559,,,1
611832495,100000110561173,Undirected,560,,,1
618222551,100000132141888,Undirected,561,,,1
626452503,100000013749622,Undirected,562,,,1
626452503,100000069041641,Undirected,563,,,1
635630398,100000063101730,Undirected,564,,,1
639647750,100000013749622,Undirected,565,,,1
639647750,100000017146555,Undirected,566,,,1
639647750,100000053913018,Undirected,567,,,1
639647750,100000064809894,Undirected,568,,,1
639647750,100000093638363,Undirected,569,,,1
640611955,100000013749622,Undirected,570,,,1
640611955,100000053913018,Undirected,571,,,1
640611955,100000069041641,Undirected,572,,,1
640887158,100000008167019,Undirected,573,,,1
641527218,100000013749622,Undirected,574,,,1
641527218,100000053913018,Undirected,575,,,1
641527218,100000069041641,Undirected,576,,,1
651928572,100000013749622,Undirected,577,,,1
651928572,100000053913018,Undirected,578,,,1
651928572,100000069041641,Undirected,579,,,1
654961381,100000083930337,Undirected,580,,,1
657927805,100000001633699,Undirected,581,,,1
670161715,100000063101730,Undirected,582,,,1
672024580,100000053556302,Undirected,583,,,1
677924538,100000013749622,Undirected,584,,,1
677924538,100000053913018,Undirected,585,,,1
677924538,100000069041641,Undirected,586,,,1
677940123,100000063101730,Undirected,587,,,1
678200621,100000097444770,Undirected,588,,,1
678200621,100000105028850,Undirected,589,,,1
531013568,100000159058355,Undirected,590,,,1
531013568,100000256442097,Undirected,591,,,1
531013568,100000279604384,Undirected,592,,,1
534275844,100000138243355,Undirected,593,,,1
534300238,100000138243355,Undirected,594,,,1
537347192,100000254073352,Undirected,595,,,1
540657595,100000155592008,Undirected,596,,,1
540657595,100000179278932,Undirected,597,,,1
540657595,100000208486319,Undirected,598,,,1
540657595,100000222039856,Undirected,599,,,1
540657595,100000240092957,Undirected,600,,,1
542798668,100000264092954,Undirected,601,,,1
545577860,100000198863931,Undirected,602,,,1
545577860,100000220828171,Undirected,603,,,1
545577860,100000224297985,Undirected,604,,,1
546688440,100000198145031,Undirected,605,,,1
551074991,100000164027833,Undirected,606,,,1
551074991,100000207187193,Undirected,607,,,1
551074991,100000240092957,Undirected,608,,,1
551074991,100000249383544,Undirected,609,,,1
551799461,100000145960467,Undirected,610,,,1
557874377,100000224297985,Undirected,611,,,1
559392060,100000198145031,Undirected,612,,,1
560236619,100000135935601,Undirected,613,,,1
560236619,100000256723971,Undirected,614,,,1
560236619,100000264092954,Undirected,615,,,1
561396745,100000255857038,Undirected,616,,,1
561396745,100000256723971,Undirected,617,,,1
569925919,100000190948598,Undirected,618,,,1
569925919,100000216243903,Undirected,619,,,1
569925919,100000277465069,Undirected,620,,,1
572592023,100000155592008,Undirected,621,,,1
572592023,100000164027833,Undirected,622,,,1
572592023,100000179278932,Undirected,623,,,1
572592023,100000207187193,Undirected,624,,,1
572592023,100000208486319,Undirected,625,,,1
572592023,100000224297985,Undirected,626,,,1
572592023,100000240092957,Undirected,627,,,1
572592023,100000249762919,Undirected,628,,,1
574369900,100000198145031,Undirected,629,,,1
577401938,100000155592008,Undirected,630,,,1
577401938,100000207187193,Undirected,631,,,1
577882922,100000266594339,Undirected,632,,,1
604678719,100000135935601,Undirected,633,,,1
604678719,100000256723971,Undirected,634,,,1
604678719,100000264092954,Undirected,635,,,1
611832495,100000164027833,Undirected,636,,,1
611832495,100000207187193,Undirected,637,,,1
626452503,100000256723971,Undirected,638,,,1
626452503,100000264092954,Undirected,639,,,1
631274226,100000159058355,Undirected,640,,,1
631274226,100000279604384,Undirected,641,,,1
633000389,100000207187193,Undirected,642,,,1
635630398,100000224297985,Undirected,643,,,1
639647750,100000248999207,Undirected,644,,,1
639647750,100000274313854,Undirected,645,,,1
640611955,100000256723971,Undirected,646,,,1
640611955,100000264092954,Undirected,647,,,1
641527218,100000135935601,Undirected,648,,,1
641527218,100000256723971,Undirected,649,,,1
641527218,100000264092954,Undirected,650,,,1
645684047,100000159058355,Undirected,651,,,1
645684047,100000279604384,Undirected,652,,,1
648989580,100000236093649,Undirected,653,,,1
651928572,100000256723971,Undirected,654,,,1
651928572,100000264092954,Undirected,655,,,1
657927805,100000159058355,Undirected,656,,,1
657927805,100000279604384,Undirected,657,,,1
672024580,100000179278932,Undirected,658,,,1
672024580,100000240092957,Undirected,659,,,1
677924538,100000256723971,Undirected,660,,,1
678200621,100000179278932,Undirected,661,,,1
678200621,100000207187193,Undirected,662,,,1
678200621,100000240092957,Undirected,663,,,1
678200621,100000249762919,Undirected,664,,,1
530759938,100000323622707,Undirected,665,,,1
531013568,100000294776004,Undirected,666,,,1
531013568,100000353790961,Undirected,667,,,1
531013568,100000451838897,Undirected,668,,,1
537347192,100000455767277,Undirected,669,,,1
540657595,100000289737542,Undirected,670,,,1
540657595,100000350499193,Undirected,671,,,1
540657595,100000353503194,Undirected,672,,,1
540657595,100000392891951,Undirected,673,,,1
540657595,100000400017828,Undirected,674,,,1
544552466,100000332588059,Undirected,675,,,1
545577860,100000332588059,Undirected,676,,,1
545577860,100000342826763,Undirected,677,,,1
545577860,100000385895546,Undirected,678,,,1
545577860,100000411794211,Undirected,679,,,1
545577860,100000412309021,Undirected,680,,,1
545577860,100000462747302,Undirected,681,,,1
551074991,100000289737542,Undirected,682,,,1
551074991,100000392891951,Undirected,683,,,1
551074991,100000400017828,Undirected,684,,,1
551074991,100000408816068,Undirected,685,,,1
551799461,100000367663318,Undirected,686,,,1
557874377,100000412309021,Undirected,687,,,1
557874377,100000462747302,Undirected,688,,,1
560236619,100000333813000,Undirected,689,,,1
561396745,100000367663318,Undirected,690,,,1
569925919,100000367663318,Undirected,691,,,1
569925919,100000374741895,Undirected,692,,,1
569925919,100000402914909,Undirected,693,,,1
572592023,100000289737542,Undirected,694,,,1
